k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis,vco_l1mhz_dbc_hz,reference_asd_as_sqrt_hz
22,6,132,528000000,3168000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,34.24488130496255,30.71314023373042,6.3213922517116385,6.3213922517116385,62.37842835578604,94.0386324563571,140.7590162885236,True,-125,40
22,6,132,528000000,3168000000,hybrid,1000000,10k_to_fout_over_2,264000000.0,59.55094712829897,36.72859560170931,34.289367431610025,30.75303841979828,32.49553815526063,32.49553815526063,66.66032333743341,94.18568910421897,149.8108069170868,True,-125,40
23,6,138,552000000,3312000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,32.75597342213809,29.377786310524755,6.3213922517116385,6.3213922517116385,59.66632277509969,89.94999626260245,136.19779401293027,True,-125,40
23,6,138,552000000,3312000000,hybrid,1000000,10k_to_fout_over_2,276000000.0,59.55094730638119,36.72859571417858,32.79852546980084,29.415949882927215,33.22589351695453,33.22589351695453,63.90104456698402,90.09066015222226,145.75299994218275,True,-125,40
24,6,144,576000000,3456000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,31.391141196215667,28.153711880919552,6.3213922517116385,6.3213922517116385,57.180225992803855,86.20207975166068,132.06502605110754,True,-125,40
24,6,144,576000000,3456000000,hybrid,1000000,10k_to_fout_over_2,288000000.0,59.5509474388936,36.72859579789388,31.431920313535084,28.190285368725892,33.940536236188144,33.940536236188144,61.371282779361934,86.33688344680142,142.13505791046956,True,-125,40
25,6,150,600000000,3600000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,30.135495548367036,27.02756340568277,6.3213922517116385,6.3213922517116385,54.8930169530917,82.75399656159425,128.30769112655705,True,-125,40
25,6,150,600000000,3600000000,hybrid,1000000,10k_to_fout_over_2,300000000.0,59.55094753665271,36.72859585963431,30.174643551716983,27.062673999468963,34.64043879629701,34.64043879629701,59.04351058910577,82.88340876196571,138.90254905687354,True,-125,40
26,6,156,624000000,3744000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,28.976438027276,25.988041736233434,6.3213922517116385,6.3213922517116385,52.78174707028049,79.57115053999448,124.88095197261924,True,-125,40
26,6,156,624000000,3744000000,hybrid,1000000,10k_to_fout_over_2,312000000.0,59.550947608934365,36.728595905298754,29.014080374262438,26.021801954919077,35.326477322257865,35.326477322257865,56.89443827843631,79.69558587672856,136.00933670338878,True,-125,40
27,6,162,648000000,3888000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,27.903236618858372,25.02552167192849,6.3213922517116385,6.3213922517116385,50.82686754915899,76.62407089036505,121.74664316907032,True,-125,40
27,6,162,648000000,3888000000,hybrid,1000000,10k_to_fout_over_2,324000000.0,59.55094766173752,36.72859593864675,27.93948483021318,25.058031534895914,35.99944444015768,35.99944444015768,54.90422169811401,76.74389794835956,133.41605719178185,True,-125,40
28,4,112,672000000,2688000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,40.36003868084872,36.19762956118228,6.3213922517116385,6.3213922517116385,73.51743341931926,110.8312453949923,159.96980386948832,True,-125,40
28,4,112,672000000,2688000000,hybrid,1000000,10k_to_fout_over_2,336000000.0,59.55094770026662,36.72859596298798,40.41246915619812,36.24465277985209,36.660060010861955,36.660060010861955,79.58377706267865,111.00456721563907,170.83810806180944,True,-125,40
29,4,116,696000000,2784000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,38.96831320909531,34.94943543838289,6.3213922517116385,6.3213922517116385,70.98234950830825,107.00947831240636,155.53865735482665,True,-125,40
29,4,116,696000000,2784000000,hybrid,1000000,10k_to_fout_over_2,348000000.0,59.55094772791814,36.72859598045121,39.01893575557107,34.994837183392605,37.30898015223679,37.30898015223679,77.0019941904498,107.17682397135368,166.86077975627043,True,-125,40
30,4,120,720000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,151.43207190646385,True,-125,40
